[0.00219894 0.1196521 ],[ 0.00219893 -0.99999758]
[0.12405428 0.04082677],[ 0.12373634 -0.99231513]
[-0.05844525  0.2397891 ],[-0.05841198 -0.99829256]
[ 0.31351072 -0.42325194],[ 0.30840012 -0.95125673]
[-0.00356475 -0.38014385],[-0.00356475 -0.99999365]
[-0.03857393 -0.4961099 ],[-0.03856437 -0.99925612]
[-0.04194502 -0.24463269],[-0.04193272 -0.99912044]
[ 0.00133278 -0.03778292],[ 0.00133278 -0.99999911]
[0.00794709 0.00757163],[ 0.00794701 -0.99996842]
[0.00614658 0.24096205],[ 0.00614654 -0.99998111]
[-0.02725293 -0.21123181],[-0.02724956 -0.99962866]
[ 0.28291386 -0.59360257],[ 0.27915485 -0.9602461 ]
[-0.00578488 -0.00263497],[-0.00578485 -0.99998327]
[-0.02995272  0.11644362],[-0.02994824 -0.99955145]
[ 0.11646052 -0.87879597],[ 0.11619744 -0.99322614]
[-0.00526048 -0.00167681],[-0.00526046 -0.99998616]
[-0.01542791 -0.20123443],[-0.0154273  -0.99988099]
[ 0.1472206  -0.25578159],[ 0.14668937 -0.98918261]
[-0.32322107 -0.72791452],[-0.31762247 -0.94821726]
[-0.063864   0.0368358],[-0.0638206  -0.99796139]
[0.00907514 0.02671551],[ 0.00907501 -0.99995882]
[-0.22547916 -1.03283065],[-0.22357342 -0.97468709]
[-0.03088993 -0.32726812],[-0.03088502 -0.99952294]
[ 0.07019282 -0.22958964],[ 0.07013519 -0.9975375 ]
[0.25839658 1.21071188],[ 0.25553069 -0.96680094]
[ 0.15984846 -0.2985271 ],[ 0.1591686  -0.98725141]
[-0.53013805  1.2310534 ],[-0.50565244 -0.86273728]
[-0.04742772 -0.0243731 ],[-0.04740994 -0.99887552]
[0.0895499  1.04752785],[ 0.08943027 -0.99599309]
[-0.03437731 -0.17469565],[-0.03437054 -0.99940916]
[-0.04771708  0.01792178],[-0.04769897 -0.99886176]
[-0.21503765 -1.05530956],[-0.21338421 -0.97696836]
[0.0977554  0.24426857],[ 0.09759978 -0.99522574]
[ 0.37759343 -0.09346441],[ 0.3686845  -0.92955459]
[-0.13111089 -0.01189182],[-0.13073558 -0.99141727]
[-0.06097432 -0.32255841],[-0.06093654 -0.99814164]
[-0.02114782  0.03408948],[-0.02114625 -0.99977639]
[0.01809849 0.10387054],[ 0.0180975  -0.99983623]
[-0.01139531  0.08259165],[-0.01139506 -0.99993507]
[-0.00623943  0.04012864],[-0.00623939 -0.99998053]
[0.04832349 0.41078889],[ 0.04830469 -0.99883265]
[0.1650336  0.10897812],[ 0.16428548 -0.98641284]
[0.00551774 0.00213493],[ 0.00551771 -0.99998478]
[-0.34217145 -1.31115233],[-0.33553345 -0.94202829]
[ 0.32888517 -1.87963928],[ 0.32298815 -0.94640301]
[-0.01530962 -0.16212739],[-0.01530902 -0.99988281]
[ 0.06696631 -0.74652823],[ 0.06691627 -0.99775859]
[0.27194111 0.19883292],[ 0.26860172 -0.96325133]
[ 0.07335715 -0.41270311],[ 0.07329138 -0.99731057]
[0.01049956 0.0124421 ],[ 0.01049937 -0.99994488]
[0.06139205 0.02122487],[ 0.06135349 -0.9981161 ]
[0.18986697 1.89545139],[ 0.18872825 -0.98202935]
[-0.22587205  0.4323465 ],[-0.22395634 -0.97459918]
[ 0.00117925 -0.06917225],[ 0.00117925 -0.9999993 ]
[-0.00480596  0.01035192],[-0.00480594 -0.99998845]
[ 0.4243749  -1.42859323],[ 0.41175121 -0.9112963 ]
[0.18818318 0.2651544 ],[ 0.18707446 -0.98234574]
[ 0.16979599 -0.68389617],[ 0.16898127 -0.98561926]
[-0.00172148 -0.11389611],[-0.00172148 -0.99999852]
[-0.10147613 -0.10937745],[-0.10130206 -0.99485571]
[ 0.00084002 -0.06258099],[ 8.40022693e-04 -9.99999647e-01]
[-0.01397862 -0.01110327],[-0.01397816 -0.9999023 ]
[ 0.01190002 -0.03663156],[ 0.01189973 -0.9999292 ]
[-0.02909866 -0.0012381 ],[-0.02909455 -0.99957666]
[ 0.05420531 -0.0422344 ],[ 0.05417877 -0.99853125]
[ 0.03440302 -0.071341  ],[ 0.03439623 -0.99940827]
[-0.02023418 -0.05315125],[-0.0202328 -0.9997953]
[-0.10633933 -0.24191445],[-0.10613903 -0.9943513 ]
[-0.14513107 -1.47349186],[-0.14462212 -0.98948696]
[-0.20830657  0.18880974],[-0.20680337 -0.97838252]
[0.00540633 0.01994486],[ 0.0054063  -0.99998539]
[ 0.00414618 -0.01667602],[ 0.00414617 -0.9999914 ]
[-0.00534121 -0.15285122],[-0.00534118 -0.99998574]
[-0.46670144  1.73872836],[-0.44994293 -0.89305731]
[-0.22387219 -0.44779725],[-0.22200684 -0.97504511]
[0.03963706 0.79485205],[ 0.03962668 -0.99921455]
[ 0.00612547 -0.07462961],[ 0.00612543 -0.99998124]
[-0.07172295 -0.01037619],[-0.07166148 -0.99742901]
[ 0.00812723 -0.00533256],[ 0.00812714 -0.99996697]
[-0.01669645 -1.14686509],[-0.01669567 -0.99986062]
[0.00654615 0.00572099],[ 0.0065461  -0.99997857]
[-0.47128905 -0.40704651],[-0.45403518 -0.89098375]
[-0.01863298  0.17152939],[-0.0186319  -0.99982641]
[-0.02042571  0.03809665],[-0.02042429 -0.9997914 ]
[-0.42363973 -0.3856957 ],[-0.41108114 -0.91159876]
[-0.05698676  1.63289138],[-0.05695592 -0.99837669]
[-0.21608177 -0.06121975],[-0.21440416 -0.97674503]
[-0.14437683 -0.04331126],[-0.14387577 -0.98959576]
[-0.11222568  0.57276797],[-0.11199026 -0.9937093 ]
[0.00941055 0.04395603],[ 0.00941041 -0.99995572]
[-0.02678687  0.18252276],[-0.02678367 -0.99964125]
[-0.00058129 -0.1141231 ],[-5.81289160e-04 -9.99999831e-01]
[-0.00714274  0.00046602],[-0.00714268 -0.99997449]
[0.08178795 0.05225912],[ 0.0816968  -0.99665723]
[ 0.35516082 -0.68640086],[ 0.34774115 -0.93759058]
[ 0.00211499 -0.01988289],[ 0.00211498 -0.99999776]
[ 0.09492996 -0.49551433],[ 0.09478745 -0.99549753]
